	TrackID		31
	X-coordinates	Y-coordinates	Time	Curvature	 Perimeter	 	 Intensity 	 	 IntensitySec
	237.58		167.5		84		0.01				99.464		12,810		12,810
	238.16		164.5		85		0.01				98.995		16,595		16,595
	238.16		164.5		85		0.01				98.995		16,595		16,595
	231.44		186.42		86		0.009				106.024		15,309		15,309
	231.44		186.42		86		0.009				106.024		15,309		15,309
	231.77		185.4		87		0.009				105.603		13,202		13,202
	231.77		185.4		87		0.009				105.603		13,202		13,202
	238.06		163.5		88		0.01				98.858		13,751		13,751
	238.06		163.5		88		0.01				98.858		13,751		13,751
	237.63		165.5		89		0.01				98.995		12,956		12,956
	237.63		165.5		89		0.01				98.995		12,956		12,956
	236.54		167.5		90		0.01				98.858		9,622		9,622
	236.54		167.5		90		0.01				98.858		9,622		9,622
	231.11		182.36		91		0.011				102.181		11,833		11,833
	231.11		182.36		91		0.011				102.181		11,833		11,833
	231.36		182.38		92		0.011				102.181		15,620		15,620
	231.36		182.38		92		0.011				102.181		15,620		15,620
	234.34		171.5		93		0.012				99.639		12,565		12,565
	234.34		171.5		93		0.012				99.639		12,565		12,565
	236.45		171.5		94		0.012				99.639		9,511		9,511
	236.45		171.5		94		0.012				99.639		9,511		9,511
	233.25		186.04		95		0.011				100.464		16,058		16,058
	233.25		186.04		95		0.011				100.464		16,058		16,058
	238.49		170.5		96		0.012				99.298		11,333		11,333
	238.49		170.5		96		0.012				99.298		11,333		11,333
	239.26		168.38		97		0.011				97.867		15,108		15,108
	239.26		168.38		97		0.011				97.867		15,108		15,108
	234.08		185.91		98		0.011				100.846		12,368		12,368
	234.08		185.91		98		0.011				100.846		12,368		12,368
	235.22		184.25		99		0.01				102.318		14,435		14,435
	235.22		184.25		99		0.01				102.318		14,435		14,435
	232.58		191.12		100		0.01				104.202		18,082		18,082
	232.58		191.12		100		0.01				104.202		18,082		18,082
	232.69		191.13		101		0.01				104.657		16,567		16,567
	232.69		191.13		101		0.01				104.657		16,567		16,567
	232.6		192.85		102		0.01				104.235		24,974		24,974
	232.6		192.85		102		0.01				104.235		24,974		24,974
