	TrackID: 	01
	ArbritaryUnit	Time	Deformation	Intensity	IntensitySec	Distance-Deformation
	167	2	0.002	128.899	128.899	469.583
	168	1	0.002	119.792	119.792	466.954
	168	2	0.002	126.465	126.465	471.972
	169	1	0.002	128.057	128.057	465.381
	169	2	0.002	133.126	133.126	470.467
	170	1	0.002	129.912	129.912	465.78
	170	2	0.002	134.792	134.792	470.921
	171	1	0.002	137.151	137.151	464.229
	171	2	0.002	136.088	136.088	471.383
	172	1	0.002	138.107	138.107	464.645
	172	2	0.002	141.069	141.069	469.911
	173	1	0.002	143.61	143.61	463.117
	173	2	0.002	141.585	141.585	470.391
	174	1	0.002	147.459	147.459	461.601
	174	2	0.002	145.069	145.069	468.941
	175	1	0.002	149.447	149.447	460.097
	175	2	0.002	147.767	147.767	467.003
	176	1	0.002	149.792	149.792	458.605
	176	2	0.002	149.447	149.447	465.569
	177	1	0.002	150.623	150.623	456.659
	177	2	0.002	150	150	464.147
	178	1	0.002	148.635	148.635	455.183
	178	2	0.002	150.61	150.61	462.215
	179	1	0.002	147.931	147.931	453.24
	179	2	0.002	150.698	150.698	460.283
	180	1	0.002	146.736	146.736	451.298
	180	2	0.002	150.434	150.434	458.353
	181	1	0.002	144.987	144.987	449.356
	181	2	0.002	149.799	149.799	456.423
	182	1	0.002	142.667	142.667	447.414
	182	2	0.002	148.862	148.862	454.493
	183	1	0.002	139.704	139.704	445.473
	183	2	0.002	147.73	147.73	452.564
	184	1	0.002	136.333	136.333	443.533
	184	2	0.002	146.434	146.434	450.636
	185	1	0.002	132.698	132.698	441.593
	185	2	0.002	144.899	144.899	448.708
	186	1	0.002	129.006	129.006	439.654
	186	2	0.002	140.283	140.283	447.322
	187	1	0.002	125.497	125.497	437.715
	187	2	0.002	137.365	137.365	447.871
	188	1	0.002	122.673	122.673	435.777
	188	2	0.002	134.384	134.384	448.429
	189	1	0.002	119.302	119.302	434.34
	189	2	0.002	131.516	131.516	448.994
	190	1	0.002	118.101	118.101	434.849
	190	2	0.002	128.906	128.906	449.568
	191	1	0.002	117.17	117.17	435.367
	191	2	0.002	126.503	126.503	450.15
	192	1	0.002	116.478	116.478	435.894
	192	2	0.002	124.459	124.459	450.74
	193	1	0.002	116.101	116.101	436.429
	193	2	0.002	122.686	122.686	451.338
	194	1	0.002	115.943	115.943	436.973
	194	2	0.002	121.157	121.157	451.944
	195	1	0.002	116	116	437.525
	195	2	0.002	119.698	119.698	452.558
	196	1	0.002	116.094	116.094	438.086
	196	2	0.002	118.157	118.157	453.18
	197	1	0.002	116.164	116.164	438.655
	197	2	0.002	116.553	116.553	453.81
	198	1	0.002	116.057	116.057	439.232
	198	2	0.002	114.887	114.887	454.449
	199	1	0.002	115.78	115.78	439.818
	199	2	0.002	113.132	113.132	455.094
	200	1	0.002	115.365	115.365	440.412
	200	2	0.002	111.453	111.453	455.748
	201	1	0.002	114.95	114.95	441.014
	201	2	0.002	109.962	109.962	456.41
	202	1	0.002	114.597	114.597	441.624
	202	2	0.002	108.623	108.623	457.079
	203	1	0.002	114.226	114.226	442.243
	203	2	0.002	107.629	107.629	457.757
	204	1	0.002	114.195	114.195	442.87
	204	2	0.002	107.119	107.119	458.441
	205	1	0.002	114.396	114.396	443.505
	205	2	0.002	106.994	106.994	459.134
	206	1	0.002	114.987	114.987	444.148
	206	2	0.002	107.44	107.44	459.834
	207	1	0.002	115.843	115.843	444.799
	207	2	0.002	108.346	108.346	460.542
	208	1	0.002	116.95	116.95	445.458
	208	2	0.002	109.874	109.874	461.258
	209	1	0.002	118.447	118.447	446.126
	209	2	0.002	111.912	111.912	461.981
	210	1	0.002	120.283	120.283	446.801
	210	2	0.002	114.277	114.277	462.711
	211	1	0.002	122.465	122.465	447.484
	211	2	0.002	117.119	117.119	463.449
	212	1	0.002	125.082	125.082	448.175
	212	2	0.002	120.39	120.39	464.195
	213	1	0.002	128.038	128.038	448.873
	213	2	0.002	124.119	124.119	464.948
	214	1	0.002	131.403	131.403	449.58
	214	2	0.002	128.101	128.101	465.708
	215	1	0.002	135.107	135.107	450.294
	215	2	0.002	132.252	132.252	466.475
	216	1	0.002	139.088	139.088	451.017
	216	2	0.002	136.484	136.484	467.25
	217	1	0.002	143.252	143.252	451.746
	217	2	0.002	140.648	140.648	468.032
	218	1	0.002	147.453	147.453	452.484
	218	2	0.003	144.673	144.673	468.822
	219	1	0.002	151.585	151.585	453.229
	219	2	0.003	153.572	153.572	467.786
	220	1	0.002	159.868	159.868	452.131
	220	2	0.003	156.843	156.843	468.593
	221	1	0.002	163.321	163.321	452.894
	221	2	0.003	159.522	159.522	469.407
	222	1	0.002	166.258	166.258	453.665
	222	2	0.003	161.333	161.333	470.228
	223	1	0.002	168.447	168.447	454.443
	223	2	0.003	166.987	166.987	469.238
	224	1	0.002	169.95	169.95	455.229
	224	2	0.003	167.208	167.208	470.076
	225	1	0.002	170.799	170.799	456.022
	225	2	0.003	166.623	166.623	470.922
	226	1	0.002	171.17	171.17	456.823
	226	2	0.003	165.157	165.157	471.774
	227	1	0.002	171.101	171.101	457.631
	227	2	0.003	163.119	163.119	472.633
	228	1	0.002	170.742	170.742	458.446
	228	2	0.003	160.604	160.604	473.5
	229	1	0.002	170.201	170.201	459.269
	229	2	0.003	157.755	157.755	474.373
	230	1	0.002	169.692	169.692	460.099
	230	2	0.003	154.73	154.73	475.253
	231	1	0.002	169.34	169.34	460.935
	231	2	0.003	151.654	151.654	476.139
	232	1	0.002	169.145	169.145	461.78
	232	2	0.003	148.623	148.623	477.033
	233	1	0.002	169.145	169.145	462.631
	233	2	0.003	145.994	145.994	477.933
	234	1	0.002	169.358	169.358	463.489
	234	2	0.003	143.66	143.66	478.839
	235	1	0.002	169.937	169.937	464.354
	235	2	0.003	141.717	141.717	479.753
	236	1	0.002	170.673	170.673	465.227
	236	2	0.003	140.145	140.145	480.673
	237	1	0.002	171.509	171.509	466.106
	237	2	0.003	138.849	138.849	481.599
	238	1	0.002	172.421	172.421	466.992
	238	2	0.003	137.887	137.887	482.532
	239	1	0.002	173.119	173.119	467.885
	239	2	0.003	137.214	137.214	483.471
	240	1	0.002	173.748	173.748	468.785
	240	2	0.003	136.742	136.742	484.417
	241	1	0.002	174.157	174.157	469.691
	241	2	0.003	136.541	136.541	485.37
	242	1	0.002	174.126	174.126	470.605
	242	2	0.003	136.541	136.541	486.328
	243	1	0.002	173.698	173.698	471.525
	243	2	0.003	136.742	136.742	487.293
	244	1	0.002	172.836	172.836	472.452
	244	2	0.003	136.906	136.906	488.265
	245	1	0.002	171.648	171.648	473.385
	245	2	0.003	137.189	137.189	489.242
	246	1	0.002	170.151	170.151	474.325
	246	2	0.003	137.623	137.623	490.226
	247	1	0.002	168.39	168.39	475.272
	247	2	0.003	138.082	138.082	491.216
	248	1	0.002	166.459	166.459	476.225
	248	2	0.003	138.541	138.541	492.212
	249	1	0.002	164.333	164.333	477.184
	249	2	0.003	138.906	138.906	493.214
	250	1	0.002	162.119	162.119	478.15
	250	2	0.003	139.39	139.39	494.222
	251	1	0.002	159.799	159.799	479.123
	251	2	0.003	139.83	139.83	495.236
	252	1	0.002	157.503	157.503	480.101
	252	2	0.003	140.195	140.195	496.256
	253	1	0.003	152.774	152.774	482.078
	253	2	0.003	141.208	141.208	498.315
	254	1	0.003	150.516	150.516	483.075
	254	2	0.003	141.862	141.862	499.353
	255	1	0.003	148.321	148.321	484.079
	255	2	0.003	142.623	142.623	500.396
	256	1	0.003	146.277	146.277	485.089
	256	2	0.003	143.528	143.528	501.446
	257	1	0.003	144.579	144.579	486.105
	257	2	0.003	144.478	144.478	502.501
	258	1	0.003	143.22	143.22	487.127
	258	2	0.003	145.553	145.553	503.562
	259	1	0.003	142.314	142.314	488.156
	259	2	0.003	146.736	146.736	504.629
	260	1	0.003	141.868	141.868	489.19
	260	2	0.003	147.956	147.956	505.702
	261	1	0.003	141.994	141.994	490.23
	261	2	0.003	149.17	149.17	506.78
	262	1	0.003	142.579	142.579	491.276
	262	2	0.003	150.472	150.472	507.863
	263	1	0.003	142.119	142.119	494.029
	263	2	0.003	151.642	151.642	508.953
	264	1	0.003	142.994	142.994	495.083
	264	2	0.003	152.843	152.843	510.047
	265	1	0.003	141.673	141.673	497.838
	265	2	0.003	154.025	154.025	511.147
	266	1	0.003	142.358	142.358	498.901
	266	2	0.003	154.987	154.987	512.253
	267	1	0.003	139.654	139.654	501.659
	267	2	0.003	160.541	160.541	511.704
	268	1	0.003	140.094	140.094	502.729
	268	2	0.003	161.421	161.421	512.824
	269	1	0.003	140.786	140.786	503.805
	269	2	0.003	166.56	166.56	512.299
	270	1	0.003	141.522	141.522	504.886
	270	2	0.003	171.264	171.264	511.79
	271	1	0.003	142.365	142.365	505.974
	271	2	0.003	175.101	175.101	510.148
	272	1	0.003	143.314	143.314	507.066
	272	2	0.003	178.843	178.843	509.66
	273	1	0.003	144.434	144.434	508.164
	273	2	0.003	181.887	181.887	508.027
	274	1	0.003	145.56	145.56	509.268
	274	2	0.003	184.478	184.478	506.397
	275	1	0.003	152.082	152.082	508.716
	275	2	0.003	186.591	186.591	504.769
	276	1	0.003	153.27	153.27	509.834
	276	2	0.003	188.214	188.214	503.145
	277	1	0.003	159.937	159.937	509.306
	277	2	0.003	189.258	189.258	501.523
	278	1	0.003	166.22	166.22	508.793
	278	2	0.003	189.535	189.535	499.903
	279	1	0.003	171.956	171.956	508.295
	279	2	0.003	188.975	188.975	498.287
	280	1	0.003	176.824	176.824	507.813
	280	2	0.003	187.579	187.579	496.673
	281	1	0.003	181.459	181.459	506.182
	281	2	0.003	185.522	185.522	495.062
	282	1	0.003	185.642	185.642	504.555
	282	2	0.003	183.013	183.013	493.454
	283	1	0.003	189.484	189.484	502.93
	283	2	0.003	180.17	180.17	491.849
	284	1	0.003	192.969	192.969	501.308
	284	2	0.003	177.214	177.214	490.247
	285	1	0.003	196.057	196.057	499.688
	285	2	0.003	174.591	174.591	488.647
	286	1	0.003	198.767	198.767	498.072
	286	2	0.003	172.34	172.34	487.051
	287	1	0.003	201.126	201.126	496.458
	287	2	0.003	170.616	170.616	485.458
	288	1	0.003	203.119	203.119	494.847
	288	2	0.003	169.484	169.484	483.867
	289	1	0.003	204.616	204.616	493.239
	289	2	0.003	168.761	168.761	482.28
	290	1	0.003	205.642	205.642	491.633
	290	2	0.003	168.572	168.572	480.696
	291	1	0.003	206.17	206.17	490.031
	291	2	0.003	168.761	168.761	479.114
	292	1	0.003	206.132	206.132	488.432
	292	2	0.003	169.27	169.27	477.536
	293	1	0.003	205.597	205.597	486.835
	293	2	0.003	169.969	169.969	475.962
	294	1	0.003	204.748	204.748	485.242
	294	2	0.003	170.698	170.698	474.39
	295	1	0.003	203.717	203.717	483.651
	295	2	0.003	171.296	171.296	472.822
	296	1	0.003	202.516	202.516	482.064
	296	2	0.003	171.843	171.843	471.256
	297	1	0.003	201.421	201.421	480.479
	297	2	0.003	172.17	172.17	469.695
	298	1	0.003	200.491	200.491	478.898
	298	2	0.003	172.164	172.164	468.136
	299	1	0.003	199.881	199.881	477.32
	299	2	0.003	171.868	171.868	466.581
	300	1	0.003	199.566	199.566	475.745
	300	2	0.003	171.113	171.113	465.029
	301	1	0.003	199.352	199.352	474.173
	301	2	0.003	169.792	169.792	463.481
	302	1	0.003	199.126	199.126	472.605
	302	2	0.003	167.937	167.937	461.936
	303	1	0.003	198.767	198.767	471.039
	303	2	0.003	165.453	165.453	460.395
	304	1	0.003	197.969	197.969	469.478
	304	2	0.003	162.314	162.314	458.857
	305	1	0.003	196.679	196.679	467.919
	305	2	0.004	158.78	158.78	457.323
	306	1	0.003	194.836	194.836	466.364
	306	2	0.004	154.925	154.925	455.792
	307	1	0.003	192.478	192.478	464.812
	307	2	0.004	148.975	148.975	455.562
	308	1	0.003	189.648	189.648	463.263
	308	2	0.004	147.616	147.616	456.863
	309	1	0.003	186.233	186.233	461.719
	309	2	0.004	147.025	147.025	458.17
	310	1	0.003	182.365	182.365	460.177
	310	2	0.004	147.082	147.082	459.481
	311	1	0.003	178.214	178.214	458.639
	311	2	0.004	147.843	147.843	460.798
	312	1	0.003	173.748	173.748	457.105
	312	2	0.004	149.094	149.094	462.119
	313	1	0.003	169.145	169.145	455.574
	313	2	0.004	150.906	150.906	463.446
	314	1	0.003	164.465	164.465	454.047
	314	2	0.004	153.151	153.151	464.777
	315	1	0.003	159.767	159.767	452.524
	315	2	0.004	155.698	155.698	466.112
	316	1	0.003	154.943	154.943	451.004
	316	2	0.004	158.428	158.428	467.453
	317	1	0.003	150.296	150.296	449.488
	317	2	0.004	161.182	161.182	468.798
	318	1	0.003	145.887	145.887	447.976
	318	2	0.004	163.95	163.95	470.148
	319	1	0.003	141.95	141.95	446.468
	319	2	0.004	166.742	166.742	471.503
	320	1	0.003	139.34	139.34	446.286
	320	2	0.004	169.478	169.478	472.862
	321	1	0.003	140.006	140.006	447.614
	321	2	0.004	172.195	172.195	474.226
	322	1	0.003	140.918	140.918	448.947
	322	2	0.004	174.786	174.786	475.594
	323	1	0.003	141.95	141.95	450.285
	323	2	0.004	177.314	177.314	476.966
	324	1	0.003	143.233	143.233	451.627
	324	2	0.004	175.126	175.126	476.897
	325	1	0.003	144.604	144.604	452.974
	325	2	0.004	173.704	173.704	476.845
